Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
3,49957E+16;2,08466E+16;3,7331E+16;8,12712E+15;1,41479E+16;2,01086E+16;2,42901E+16;2,55391E+16;2,36118E+16;1,91314E+16;1,32958E+16;7,55888E+14;3,36748E+16;1,87999E+15;3,61851E+15;8,19039E+15;1,4312E+16;2,02215E+16;2,429E+16;2,55086E+15;2,36621E+14;1,92553E+16;1,33635E+16;7,46384E+15;3,1563E+16;1,71464E+16;3,61052E+16;8,29239E+15;1,43863E+15;2,02033E+15;2,42566E+16;2,55762E+16;2,38326E+15;1,93942E+15;1,33391E+15;7,29178E+15;2,98495E+16;1,66721E+16;3,66209E+16;8,31851E+15;1,43223E+16;2,01269E+13;2,42975E+16;2,5756E+16;2,40226E+15;1,94438E+16;1,32319E+15;7,15456E+15;2,94146E+15;1,70478E+16;3,66222E+16;8,21202E+15;1,4186E+16;2,01065E+16;2,44424E+15;2,59555E+15;2,4119E+16;1,93953E+16;1,31437E+15;7,14571E+16;3,00423E+15;1,71848E+16;3,54448E+16;8,03035E+15;1,40971E+16;2,01889E+16;2,46114E+15;2,60578E+15;2,40977E+15;1,93403E+16;1,31717E+16;7,25331E+15;3,06512E+16;1,62989E+16;3,35409E+15;7,89532E+15;1,41189E+16;2,03096E+16;2,46882E+16;2,60271E+16;2,40416E+16;1,93802E+16;1,33143E+16;7,37045E+15;3,03242E+15;1,46813E+16;3,21013E+16;7,88351E+15;1,42025E+15;2,03553E+15
-6,11441E+16;-7,95156E+15;-6,87886E+15;-3,16775E+14;2,19278E+16;7,75928E+14;1,20232E+16;1,38212E+16;1,26543E+15;8,82789E+15;3,37217E+15;-2,23536E+16;-6,47162E+15;-8,18334E+15;-6,90263E+16;-2,97563E+16;2,5313E+15;8,12237E+14;1,22804E+16;1,38803E+16;1,24942E+16;8,50614E+15;3,00449E+15;-2,51676E+16;-6,5654E+16;-8,05544E+15;-6,59856E+16;-2,60427E+16;2,8366E+15;8,25162E+15;1,21865E+15;1,35959E+16;1,21207E+16;8,17707E+15;2,83815E+15;-2,45988E+16;-6,30444E+16;-7,68268E+16;-6,24672E+16;-2,39926E+15;2,8207E+16;8,01922E+15;1,18192E+16;1,3224E+16;1,18764E+16;8,14814E+15;3,03589E+16;-2,10464E+14;-5,91712E+15;-7,40055E+15;-6,17022E+15;-2,55624E+15;2,4851E+16;7,62327E+15;1,15028E+15;1,30992E+16;1,19876E+15;8,4563E+15;3,43233E+14;-1,75986E+16;-5,74568E+16;-7,46285E+16;-6,44402E+15;-2,9446E+16;2,11943E+16;7,40927E+15;1,15156E+16;1,33335E+16;1,236E+15;8,83468E+14;3,683E+15;-1,72491E+15;-5,93779E+15;-7,81293E+15;-6,82733E+15;-3,2252E+16;2,04042E+16;7,55873E+15;1,18392E+16;1,37153E+16;1,26639E+16;8,95312E+15;3,57482E+15;-2,01993E+16;-6,31347E+15;-8,13478E+15;-6,98066E+14;-3,15599E+16;2,30645E+15;7,92558E+15
6,88171E+15;5,57425E+15;7,37057E+15;1,17593E+16;1,75298E+16;2,31114E+16;2,70037E+16;2,81803E+16;2,63563E+16;2,20512E+15;1,64369E+15;1,10158E+16;7,21949E+15;6,03431E+15;7,75067E+15;1,18971E+16;1,73716E+16;2,27333E+16;2,65775E+15;2,7898E+13;2,63462E+15;2,23219E+16;1,68721E+15;1,14239E+16;7,41589E+15;5,9223E+15;7,36562E+15;1,13948E+16;1,69649E+16;2,26024E+15;2,67923E+16;2,83847E+15;2,69139E+16;2,27385E+16;1,696E+15;1,11348E+16;6,85383E+15;5,30507E+15;6,93846E+15;1,13317E+16;1,72971E+15;2,32046E+16;2,74306E+16;2,88098E+16;2,69602E+15;2,23899E+16;1,63555E+15;1,05125E+16;6,45549E+15;5,28026E+16;7,28677E+15;1,19058E+16;1,78649E+16;2,35436E+16;2,74169E+14;2,84651E+16;2,64381E+16;2,19094E+16;1,61095E+16;1,05894E+16;6,80623E+15;5,74326E+15;7,65944E+15;1,20315E+15;1,76985E+15;2,31683E+16;2,7006E+16;2,82052E+16;2,64473E+16;2,21854E+15;1,65304E+16;1,09657E+16;6,96403E+16;5,60093E+15;7,26604E+15;1,15491E+16;1,73353E+16;2,30901E+16;2,72635E+15;2,87075E+16;2,69957E+16;2,25533E+16;1,65564E+16;1,06236E+16;6,37748E+15;4,99722E+15;6,88614E+15;1,15503E+16;1,77261E+16;2,37243E+15
-2,33464E+16;-3,42714E+15;-7,81893E+14;4,93535E+16;1,22191E+16;1,91223E+16;2,3778E+15;2,49037E+16;2,21525E+16;1,62162E+15;8,64848E+14;1,45593E+16;-3,43646E+16;-4,70176E+15;-1,9709E+16;4,06163E+15;1,18163E+16;1,92447E+16;2,43738E+16;2,58326E+16;2,32198E+15;1,72152E+15;9,40123E+15;1,84467E+16;-3,45337E+15;-5,09019E+15;-2,63575E+16;3,25249E+16;1,10049E+16;1,85588E+16;2,3909E+16;2,5643E+16;2,33169E+15;1,75719E+16;9,95976E+15;2,52475E+16;-2,7455E+15;-4,45316E+15;-2,1635E+15;3,48155E+16;1,094E+16;1,81882E+16;2,32688E+16;2,48191E+16;2,24378E+15;1,67915E+15;9,43125E+15;2,36998E+16;-2,46513E+14;-3,75693E+15;-1,15661E+16;4,62104E+15;1,19918E+16;1,89333E+16;2,35363E+14;2,45272E+16;2,16174E+16;1,5587E+16;8,07574E+15;1,13946E+16;-3,30981E+15;-4,02732E+15;-7,80372E+14;5,58063E+14;1,33458E+15;2,04051E+15;2,482E+15;2,53532E+16;2,18114E+16;1,51079E+16;7,02498E+15;-2,6128E+15;-4,767E+15;-5,2393E+15;-1,50198E+16;5,48687E+15;1,3883E+16;2,14452E+16;2,61353E+14;2,6668E+15;2,28618E+15;1,56968E+16;7,05891E+15;-7,5853E+15;-5,66702E+15;-6,34269E+14;-2,58425E+13;4,6281E+15;1,33898E+16;2,13775E+15
2,64792E+16;-3,00635E+14;-5,15821E+15;2,12525E+16;7,04712E+15;1,30718E+15;1,86717E+16;2,23411E+16;2,30039E+15;2,03472E+16;1,49666E+16;8,25777E+15;2,05767E+16;-1,87352E+15;-2,37672E+16;7,42767E+15;6,6366E+15;1,36529E+16;1,98221E+16;2,34365E+16;2,35403E+15;2,01817E+16;1,43614E+15;7,70971E+15;2,00791E+16;-1,29646E+15;-1,44458E+16;1,48865E+15;6,67068E+15;1,27605E+16;1,82505E+15;2,1817E+16;2,26095E+16;2,04323E+16;1,57914E+16;9,79556E+15;3,92135E+16;-3,25391E+15;-1,78708E+16;1,90701E+15;4,72254E+15;1,11421E+16;1,75663E+16;2,22134E+15;2,37459E+16;2,16819E+16;1,65647E+15;9,8243E+14;3,36452E+16;-9,99827E+15;-2,07697E+15;3,64361E+16;5,55504E+15;1,19845E+16;1,78636E+16;2,16393E+16;2,24049E+16;2,00972E+16;1,54504E+16;9,74672E+15;4,45728E+15;8,75676E+15;-1,70906E+15;1,5168E+16;5,49066E+15;1,07676E+16;1,60488E+15;2,00096E+15;2,16109E+16;2,03709E+16;1,65251E+16;1,10167E+16;5,29177E+15;9,29319E+15;-8,03528E+15;6,58466E+15;4,97343E+15;1,09543E+16;1,68972E+16;2,1084E+15;2,23024E+16;2,0216E+16;1,54609E+16;9,44199E+15;3,89585E+16;3,6951E+15;-2,20946E+16;2,18019E+15;6,80352E+15;1,23205E+15
-3,38226E+15;-7,04543E+15;-6,31341E+15;-1,46447E+16;6,05878E+16;1,41725E+14;2,07738E+16;2,42365E+16;2,37102E+15;1,92696E+16;1,19484E+16;3,60072E+16;-3,49809E+16;-7,294E+15;-6,63822E+15;-1,70837E+16;6,04789E+14;1,44218E+16;2,11562E+14;2,45597E+16;2,38501E+15;1,92371E+15;1,18414E+16;3,49537E+16;-3,61148E+16;-7,47324E+15;-6,89214E+15;-1,94147E+16;5,98542E+15;1,46143E+16;2,15379E+15;2,49452E+15;2,40595E+15;1,9214E+16;1,16672E+16;3,29817E+15;-3,76611E+16;-7,6112E+14;-7,06133E+15;-2,12024E+16;5,90497E+15;1,47428E+16;2,18773E+16;2,53546E+16;2,4338E+16;1,92374E+16;1,14661E+16;3,01549E+16;-3,9953E+16;-7,74987E+15;-7,15737E+16;-2,21473E+15;5,85084E+15;1,48253E+16;2,21496E+15;2,57426E+16;2,46609E+16;1,93256E+16;1,12824E+16;2,67689E+15;-4,31101E+15;-7,93131E+15;-7,21328E+15;-2,21811E+15;5,86373E+15;1,48992E+16;2,2354E+15;2,60706E+16;2,49866E+16;1,94717E+16;1,11497E+15;2,32571E+16;-4,69976E+13;-8,18382E+15;-7,2726E+15;-2,14874E+16;5,96761E+15;1,50087E+16;2,25141E+16;2,63196E+16;2,52702E+16;1,96457E+15;1,10803E+16;2,00518E+15;-5,12679E+16;-8,51253E+15;-7,37511E+15;-2,04407E+16;6,16196E+15;1,51907E+16
6,28242E+15;5,26656E+15;7,26783E+15;1,16877E+16;1,72839E+16;2,25242E+15;2,60091E+15;2,68452E+16;2,48706E+13;2,06757E+14;1,54233E+16;1,05224E+16;7,25018E+15;6,42231E+15;8,19625E+15;1,20522E+16;1,69488E+15;2,16048E+15;2,48322E+15;2,58329E+15;2,43889E+15;2,0902E+15;1,62813E+15;1,17078E+16;8,33848E+15;7,02111E+16;8,08662E+15;1,12688E+16;1,57689E+16;2,04504E+16;2,41188E+15;2,582E+15;2,50854E+15;2,20619E+16;1,749E+16;1,25309E+16;8,47766E+15;6,42238E+15;6,9612E+16;1,00186E+16;1,4843E+16;2,01837E+16;2,46107E+14;2,68974E+15;2,63637E+16;2,3082E+15;1,78835E+16;1,21529E+15;7,46057E+15;5,12918E+15;5,85623E+15;9,50076E+15;1,51017E+16;2,11295E+15;2,59062E+16;2,80776E+15;2,70026E+14;2,29466E+15;1,70188E+15;1,08669E+16;6,21484E+15;4,37315E+15;5,86513E+15;1,02754E+16;1,63668E+16;2,24313E+16;2,67753E+16;2,8198E+16;2,63266E+16;2,17137E+16;1,56705E+16;9,8891E+12;5,96243E+15;4,94158E+15;7,05426E+14;1,166E+15;1,74485E+16;2,28181E+16;2,63234E+15;2,7065E+15;2,49169E+16;2,05338E+15;1,51473E+16;1,02154E+16;7,026E+15;6,36377E+15;8,32484E+15;1,23202E+16;1,72567E+16;2,18379E+15
1,241E+15;-2,71043E+14;-3,03528E+16;3,24741E+15;6,44549E+14;1,36764E+16;2,00865E+16;2,398E+15;2,43434E+14;2,11063E+15;1,51518E+15;8,07487E+15;1,75561E+16;-2,13789E+16;-2,58752E+15;5,10553E+15;6,32292E+15;1,33019E+15;1,95953E+15;2,35353E+15;2,40788E+16;2,10833E+16;1,53457E+16;8,39297E+14;2,07823E+16;-1,91132E+16;-2,50526E+16;4,61239E+16;6,19912E+16;1,31728E+16;1,95096E+16;2,35029E+15;2,40732E+16;2,10627E+16;1,52811E+16;8,28869E+15;1,97547E+16;-1,9519E+16;-2,43354E+16;6,55664E+15;6,47291E+15;1,34381E+16;1,96647E+16;2,34731E+15;2,38448E+16;2,06953E+16;1,48912E+15;8,01022E+15;1,90997E+15;-1,77434E+16;-2,06804E+15;1,08689E+16;6,8241E+15;1,35927E+16;1,95772E+16;2,31838E+16;2,34628E+16;2,0356E+15;1,47059E+15;8,02649E+13;2,09895E+16;-1,50136E+15;-1,82072E+16;1,22229E+16;6,81654E+15;1,34734E+16;1,94202E+16;2,30699E+16;2,34426E+16;2,04285E+15;1,4821E+14;8,11085E+15;2,09182E+15;-1,61696E+16;-2,0066E+15;1,04568E+15;6,73642E+15;1,35452E+16;1,96397E+15;2,33692E+16;2,3713E+15;2,05623E+15;1,47554E+16;7,85516E+15;1,72795E+16;-1,96326E+16;-2,21228E+15;1,05462E+16;6,95687E+15;1,38983E+16
1,19759E+15;8,72806E+15;8,58273E+15;1,16527E+16;1,70676E+16;2,32276E+15;2,8304E+16;3,08172E+15;3,00923E+16;2,64397E+15;2,10138E+15;1,54162E+16;1,11949E+16;9,40943E+15;1,03875E+14;1,37173E+15;1,84345E+15;2,33154E+16;2,71792E+16;2,91339E+15;2,87365E+16;2,60673E+15;2,17215E+14;1,67136E+16;1,22875E+16;9,63864E+15;9,59347E+14;1,23313E+16;1,72512E+16;2,3063E+15;2,81157E+14;3,08839E+16;3,04598E+14;2,68788E+16;2,11478E+16;1,49502E+16;1,01213E+15;8,06924E+15;9,34433E+15;1,34958E+16;1,92528E+15;2,49485E+16;2,90297E+16;3,04835E+16;2,90624E+16;2,52711E+15;2,01631E+15;1,50365E+16;1,11227E+16;9,33287E+15;1,00899E+16;1,32496E+16;1,81142E+15;2,35455E+15;2,81852E+16;3,07669E+16;3,04634E+16;2,71729E+15;2,1636E+16;1,53058E+16;9,9723E+15;7,23487E+15;7,98878E+15;1,21067E+15;1,84398E+16;2,51545E+15;3,02975E+16;3,23995E+15;3,09137E+16;2,63491E+16;2,00708E+15;1,38546E+16;9,3589E+15;7,68249E+15;9,12633E+15;1,31939E+16;1,87871E+13;2,45103E+16;2,89967E+16;3,119E+13;3,05519E+16;2,71772E+16;2,18026E+16;1,56895E+16;1,0373E+15;7,30045E+16;7,43088E+15;1,09102E+14;1,69434E+16;2,39427E+15
3,58801E+15;1,89043E+14;-1,48828E+15;2,73413E+16;8,10692E+15;1,45292E+15;2,02379E+16;2,36359E+16;2,37444E+16;2,04903E+16;1,47411E+15;8,07366E+15;2,33793E+16;-8,6251E+15;-6,24376E+15;2,99684E+16;8,99918E+15;1,57148E+15;2,12791E+16;2,41543E+16;2,35584E+16;1,96789E+15;1,36117E+16;7,04633E+14;1,78989E+16;-7,34871E+14;1,24228E+16;4,08328E+15;1,00184E+16;1,62901E+15;2,12008E+16;2,34557E+16;2,2502E+16;1,86577E+16;1,30036E+16;7,07481E+15;2,44243E+15;2,98862E+15;1,15651E+16;4,73322E+15;1,00471E+16;1,5688E+16;2,01904E+16;2,24091E+16;2,18032E+14;1,85622E+16;1,35449E+16;8,05312E+15;3,49884E+16;1,04747E+16;1,32571E+16;4,26433E+16;9,11453E+15;1,46341E+16;1,93993E+16;2,21661E+16;2,21917E+16;1,94348E+15;1,45794E+16;8,87192E+15;3,80706E+15;7,39835E+15;5,22753E+15;3,26566E+15;8,28699E+15;1,42768E+16;1,96347E+16;2,28979E+16;2,31431E+16;2,02528E+15;1,49658E+16;8,6924E+15;3,13841E+15;-1,61569E+16;-2,72949E+15;2,86952E+16;8,43112E+15;1,48983E+16;2,04934E+15;2,36678E+16;2,35357E+14;2,01246E+16;1,4371E+15;7,86075E+15;2,38737E+16;-5,46978E+15;-1,47598E+16;3,45654E+15;9,25555E+15;1,56458E+16
-1,38924E+16;-4,83436E+15;-4,15994E+15;4,49813E+15;7,71887E+15;1,56349E+16;2,20105E+16;2,5092E+16;2,40455E+16;1,91835E+16;1,18707E+16;4,13744E+15;-1,88851E+16;-4,57156E+15;-3,21427E+15;1,76247E+16;8,95131E+15;1,63606E+15;2,19706E+16;2,42869E+16;2,27389E+15;1,78158E+16;1,09108E+16;3,92237E+16;-1,27123E+16;-3,31805E+15;-1,74182E+16;2,95441E+16;9,45039E+15;1,59838E+15;2,08303E+16;2,27577E+16;2,13339E+16;1,70146E+16;1,09959E+16;4,88013E+15;2,49313E+16;-1,74009E+15;-6,39078E+14;3,20197E+16;8,74616E+14;1,45511E+15;1,91415E+16;2,13778E+15;2,07313E+15;1,7402E+16;1,22555E+16;6,59926E+15;1,85639E+16;-7,85326E+15;-6,63481E+15;2,1969E+16;7,08792E+15;1,27892E+16;1,78648E+16;2,10173E+15;2,14144E+16;1,89072E+16;1,40844E+16;8,14224E+14;2,59585E+14;-1,10056E+16;-1,93257E+16;3,94703E+15;5,35365E+15;1,17033E+14;1,77925E+14;2,19851E+16;2,31001E+16;2,07473E+16;1,54625E+16;8,59586E+15;1,9722E+16;-2,59263E+16;-3,79224E+16;-1,20779E+15;4,54696E+15;1,19635E+15;1,90315E+15;2,3785E+16;2,48541E+16;2,18637E+15;1,5565E+16;7,65036E+16;2,98929E+16;-4,42734E+15;-5,16728E+16;-1,65744E+16;5,17514E+15;1,34566E+16
-4,0787E+16;-5,93061E+16;-4,76394E+15;-9,00247E+15;4,65149E+15;1,04544E+16;1,50018E+16;1,70936E+16;1,61448E+16;1,23525E+16;6,67043E+15;5,83806E+15;-4,27201E+15;-6,55547E+16;-5,60242E+15;-1,63241E+16;4,29352E+15;1,05612E+16;1,54572E+16;1,76528E+16;1,65734E+16;1,25457E+16;6,68666E+15;5,78834E+15;-4,16693E+15;-6,33425E+15;-5,40069E+15;-1,64791E+15;3,93072E+15;9,89047E+14;1,46972E+16;1,71075E+16;1,6482E+16;1,29586E+15;7,43626E+14;1,36222E+16;-3,63822E+16;-6,19893E+15;-5,59908E+16;-1,9819E+16;3,66831E+15;9,79467E+14;1,47077E+16;1,70659E+16;1,62523E+16;1,25353E+16;6,97239E+15;1,09683E+15;-3,51423E+16;-5,66123E+14;-4,82241E+15;-1,26428E+16;4,05057E+15;9,72222E+15;1,42697E+16;1,65012E+15;1,58145E+16;1,236E+16;7,02001E+15;1,20003E+16;-3,5292E+16;-5,85443E+16;-5,09365E+15;-1,40907E+16;4,21458E+15;1,02328E+16;1,49751E+16;1,71226E+15;1,60845E+16;1,21602E+16;6,44194E+14;4,95865E+16;-4,07879E+15;-6,08038E+16;-5,00969E+15;-1,1774E+16;4,39842E+15;1,02653E+16;1,49054E+16;1,71129E+15;1,62946E+16;1,26269E+16;7,0284E+15;9,45007E+15;-4,01204E+15;-6,49137E+15;-5,7793E+15;-2,01927E+15;3,80206E+14;1,01121E+16
2,2824E+16;2,43998E+15;2,06696E+14;1,97992E+16;2,37255E+16;2,21386E+16;2,46121E+16;2,5483E+15;2,10322E+15;2,27419E+16;2,15644E+16;2,04517E+16;2,4943E+15;2,30984E+15;2,3079E+16;2,46316E+16;2,043E+16;2,22234E+16;2,31721E+16;2,10147E+16;2,47033E+15;2,32083E+16;2,15885E+16;2,43291E+16;2,11793E+15;2,20547E+16;2,40921E+16;2,09098E+16;2,35653E+15;2,35324E+16;2,1187E+15;2,44931E+15;2,22075E+15;2,12682E+16;2,38927E+16;2,08148E+16;2,27818E+15;2,4614E+15;2,16133E+16;2,40927E+16;2,24561E+16;1,99458E+16;2,34142E+16;2,17684E+16;2,29088E+16;2,57325E+15;2,17267E+16;2,24402E+15;2,20362E+16;1,92726E+15;2,37348E+16;2,38398E+16;2,31986E+16;2,55613E+14;2,08644E+15;2,01898E+16;2,21177E+16;2,03352E+16;2,48613E+16;2,5748E+16;2,24076E+15;2,35978E+15;1,97405E+15;1,89736E+16;2,36301E+16;2,28434E+16;2,54983E+15;2,59038E+15;2,02472E+15;2,09391E+15;1,99189E+15;1,99275E+16;2,60488E+15;2,509E+16;2,42262E+16;2,39487E+15;1,80228E+16;1,95392E+14;2,22676E+15;2,24832E+15;2,75298E+16;2,53233E+16;2,10285E+16;2,13088E+16;1,77172E+15;2,0522E+15;2,58435E+16;2,46388E+16;2,64185E+15;2,33438E+15
1,43481E+16;-9,13499E+15;8,33551E+14;4,16633E+15;1,0241E+16;1,66704E+16;2,17171E+16;2,40146E+16;2,29394E+16;1,87814E+16;1,26654E+14;6,24518E+15;1,25435E+16;-9,63633E+15;1,82649E+15;4,37596E+15;1,04802E+16;1,68506E+16;2,17775E+16;2,39457E+15;2,27828E+15;1,86086E+16;1,25448E+16;6,21297E+15;1,30215E+15;-8,79682E+15;2,48568E+16;4,38792E+15;1,04386E+16;1,67905E+16;2,17496E+15;2,39873E+16;2,28953E+16;1,87519E+16;1,26529E+15;6,22432E+15;1,19011E+16;-1,08956E+16;1,27722E+16;4,21718E+15;1,04053E+16;1,69171E+16;2,19964E+16;2,42671E+16;2,31072E+16;1,88213E+16;1,25601E+16;6,01067E+15;9,38874E+15;-1,28821E+16;-7,18794E+15;4,25801E+16;1,05345E+15;1,70705E+15;2,21141E+15;2,43182E+16;2,30992E+16;1,87891E+15;1,25426E+16;6,02659E+15;9,75751E+15;-1,26764E+16;-1,07807E+16;4,14817E+15;1,03723E+16;1,69137E+16;2,20341E+16;2,43681E+15;2,32854E+16;1,90613E+16;1,28088E+15;6,18716E+16;9,6344E+15;-1,45842E+15;-4,16014E+16;3,82843E+16;1,01517E+16;1,68654E+15;2,21676E+16;2,46275E+16;2,35745E+16;1,92823E+16;1,28987E+15;6,13746E+15;8,16047E+15;-1,63537E+16;-5,59744E+15;3,75085E+16;1,01361E+16;1,68823E+16
1,2725E+16;1,37315E+16;1,64231E+16;2,01353E+16;2,41705E+16;2,74196E+16;2,86686E+15;2,75022E+16;2,45417E+16;2,07324E+16;1,68433E+15;1,37473E+16;1,25299E+16;1,37764E+16;1,69706E+16;2,0953E+16;2,47471E+16;2,76204E+16;2,87323E+16;2,74507E+15;2,40997E+16;1,99126E+16;1,61306E+16;1,34983E+16;1,25866E+16;1,3914E+16;1,73361E+16;2,17014E+15;2,555E+16;2,79798E+16;2,86133E+16;2,71764E+16;2,37412E+16;1,92711E+16;1,53156E+16;1,30115E+16;1,26873E+16;1,43253E+15;1,77688E+16;2,22531E+16;2,62989E+16;2,85584E+16;2,85999E+15;2,66776E+15;2,31755E+15;1,8747E+16;1,46791E+16;1,24147E+15;1,25847E+16;1,48327E+16;1,84791E+16;2,28307E+15;2,6828E+15;2,90921E+16;2,87942E+15;2,62367E+15;2,23609E+16;1,80501E+15;1,42037E+16;1,19997E+16;1,2366E+16;1,51674E+16;1,93223E+16;2,36695E+16;2,73291E+15;2,93815E+16;2,8955E+15;2,5996E+16;2,15685E+16;1,70996E+14;1,36052E+16;1,17917E+15;1,23266E+16;1,53732E+16;2,00136E+16;2,4661E+16;2,80584E+16;2,95847E+16;2,88547E+15;2,57436E+16;2,09786E+16;1,61494E+16;1,27642E+16;1,1517E+16;1,25323E+16;1,57421E+15;2,0552E+16;2,55104E+15;2,89468E+16;2,99747E+16
-6,3249E+15;-2,479E+16;-1,41887E+15;5,78122E+15;1,37279E+16;2,1586E+16;2,72579E+16;2,92222E+14;2,69429E+16;2,10152E+15;1,30089E+16;5,05058E+15;-7,44507E+15;-2,83757E+16;-6,78012E+15;5,14931E+15;1,30809E+16;2,09936E+16;2,67739E+16;2,88839E+16;2,67736E+16;2,10268E+15;1,32035E+16;5,4191E+16;-2,2557E+16;-2,20983E+16;-3,09465E+15;5,79208E+15;1,36022E+16;2,13071E+16;2,68121E+16;2,86144E+15;2,62106E+16;2,02354E+16;1,22934E+16;4,52883E+15;-9,51656E+15;-2,64798E+15;-7,4022E+15;6,10684E+15;1,42553E+16;2,21932E+16;2,77869E+16;2,9521E+15;2,69078E+15;2,06222E+16;1,23251E+16;4,22081E+15;-1,53093E+16;-3,39366E+16;-8,6641E+15;5,38073E+15;1,36845E+16;2,18329E+16;2,76565E+16;2,96093E+16;2,71823E+16;2,10391E+16;1,28369E+15;4,78093E+15;-9,67844E+14;-2,87353E+16;-4,37393E+15;5,66891E+15;1,37852E+16;2,17108E+15;2,72986E+14;2,90341E+16;2,64455E+15;2,02317E+16;1,2075E+16;4,18802E+15;-1,28351E+15;-2,84121E+15;-4,11459E+15;6,38257E+15;1,47118E+16;2,27044E+15;2,81973E+16;2,969E+16;2,67518E+16;2,01424E+16;1,16128E+16;3,43809E+16;-2,1911E+16;-3,75712E+15;-8,24483E+15;5,84022E+16;1,44707E+16;2,27717E+15
